CUSTOMER,container_id,days
NISSAN MOTOR MANUFACTURING UK,TCLU5572877,0 days 00:00:00
LIGENTIA INTERNATIONAL LTD,TCIU4257916,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,TCNU7070221,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MRKU2277940,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MRKU2280542,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,TCLU5672710,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MRKU2440487,0 days 00:00:00
HILLEBRAND BULK LOGISTICS,TEMU0697380,0 days 00:00:00
LIGENTIA INTERNATIONAL LTD,TCIU4258131,0 days 00:00:00
LIGENTIA INTERNATIONAL LTD,TTMU1212987,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MRKU2492460,0 days 00:00:00
HINE FREIGHT SERVICES LIMITED,BMOU5399739,0 days 00:00:00
HILLEBRAND BULK LOGISTICS,TRHU3998524,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MRKU2780980,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MRKU2794855,0 days 00:00:00
LIGENTIA INTERNATIONAL LTD,TCKU2455355,0 days 00:00:00
MAERSK A/S,CAAU5176732,0 days 00:00:00
KOMATSU UK LTD (CON),MSKU6562720,0 days 00:00:00
MAERSK A/S,FCIU4273894,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,KKFU8094581,0 days 00:00:00
LIGENTIA INTERNATIONAL LTD,PSSU3942770,0 days 00:00:00
MAERSK A/S,MSKU2902231,0 days 00:00:00
LIGENTIA INTERNATIONAL LTD,PSSU3944860,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,HASU4758844,0 days 00:00:00
KOMATSU UK LTD (C/S),SUDU1984795,0 days 00:00:00
MAERSK A/S,MRSU4276020,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,HASU4931008,0 days 00:00:00
LIGENTIA INTERNATIONAL LTD,PSSU3950501,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,TLLU5835360,0 days 00:00:00
LIGENTIA INTERNATIONAL LTD,PSSU3951149,0 days 00:00:00
LIGENTIA INTERNATIONAL LTD,PSSU3952490,0 days 00:00:00
MAERSK A/S,MRKU7790024,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,INKU6356074,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,TLLU2431240,0 days 00:00:00
MAERSK A/S,MRKU6632929,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,KKFU7991044,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MRKU4145686,0 days 00:00:00
MAERSK A/S,MRKU4757188,0 days 00:00:00
LIGENTIA INTERNATIONAL LTD,SEKU9146181,0 days 00:00:00
J BARBOUR AND SONS LTD,APZU2134760,0 days 00:00:00
HAPAG LLOYD AG,HLXU8213128,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,TCLU8245271,0 days 00:00:00
DHL GLOBAL FORWARDING UK LTD,MRSU4477298,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,TCKU2187355,0 days 00:00:00
BAKER LOGISTICS LTD,MRSU4477298,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,SEKU4696924,0 days 00:00:00
DHL GLOBAL FORWARDING UK LTD,HLBU2839842,0 days 00:00:00
HAPAG LLOYD AG,GCXU5107144,0 days 00:00:00
LIGENTIA INTERNATIONAL LTD,CLVU6118449,0 days 00:00:00
VIPA LAUSANNE SA,TCNU1705752,0 days 00:00:00
VIPA LAUSANNE SA,TCNU4328230,0 days 00:00:00
VIPA LAUSANNE SA,MSKU9556995,0 days 00:00:00
VIPA LAUSANNE SA,MRKU4487360,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MSKU9766796,0 days 00:00:00
VIPA LAUSANNE SA,MRKU5741000,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,BSIU9812131,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,CAIU8103440,0 days 00:00:00
VIPA LAUSANNE SA,MRKU5133041,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MSKU0536391,0 days 00:00:00
LIGENTIA INTERNATIONAL LTD,CLVU2402077,0 days 00:00:00
LIGENTIA INTERNATIONAL LTD,CNIU1157647,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MSKU7384665,0 days 00:00:00
VIPA LAUSANNE SA,MSKU9141474,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MSKU1346251,0 days 00:00:00
DHL GLOBAL FORWARDING UK LTD,MRKU4487360,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,BEAU5103729,0 days 00:00:00
VIPA LAUSANNE SA,SUDU5901839,0 days 00:00:00
DHL GLOBAL FORWARDING UK LTD,TCNU4328230,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,CAIU4298446,0 days 00:00:00
LIGENTIA INTERNATIONAL LTD,CNIU1211603,0 days 00:00:00
LIGENTIA INTERNATIONAL LTD,CLVU2402863,0 days 00:00:00
KOMATSU UK LTD (CON),TCLU6105305,0 days 00:00:00
KOMATSU UK LTD (CON),PONU1511000,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,SUDU5982810,0 days 00:00:00
KOMATSU UK LTD (CON),TCKU7043073,0 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,SEKU4697710,0 days 00:00:00
VIPA LAUSANNE SA,MRSU4400763,0 days 00:00:00
VIPA LAUSANNE SA,MSKU1599820,0 days 12:00:00
OCEAN NETWORK EXPRESS PTE LTD,FCIU9765686,0 days 12:00:00
MAERSK BATTERY PLANT,HASU4410294,0 days 12:00:00
NISSAN MOTOR MANUFACTURING UK,HASU4410294,0 days 12:00:00
KOMATSU UK LTD (CON),TCNU5604360,0 days 12:00:00
NISSAN MOTOR MANUFACTURING UK,MRKU6360707,0 days 12:00:00
NISSAN MOTOR MANUFACTURING UK,MRKU4729967,0 days 12:00:00
MAERSK BATTERY PLANT,MRKU4729967,0 days 12:00:00
NISSAN MOTOR MANUFACTURING UK,TCNU7785729,0 days 12:00:00
MAERSK A/S,MSKU3734338,0 days 12:00:00
NISSAN MOTOR MANUFACTURING UK,MSKU0281979,0 days 12:00:00
MAERSK A/S,MRSU3816782,0 days 12:00:00
OCN (BATTERY PLANT),FCIU9765686,0 days 12:00:00
KOMATSU UK LTD (CON),MSKU0281979,0 days 12:00:00
KOMATSU UK LTD (CON),MSKU1599820,0 days 12:00:00
KOMATSU UK LTD (CON),MRKU7895468,0 days 12:00:00
NISSAN MOTOR MANUFACTURING UK,MRSU3498450,0 days 12:00:00
KOMATSU UK LTD (CON),MRKU5587147,0 days 12:00:00
VIPA LAUSANNE SA,MRKU2617530,0 days 12:00:00
NISSAN MOTOR MANUFACTURING UK,MSKU1536098,0 days 12:00:00
KOMATSU UK LTD (CON),MSKU1411906,0 days 12:00:00
NISSAN MOTOR MANUFACTURING UK,MRSU3816782,0 days 12:00:00
KOMATSU UK LTD (CON),MRKU4454957,0 days 12:00:00
VIPA LAUSANNE SA,MRKU3575091,0 days 12:00:00
REUDAN INTERNATIONAL,MRKU3809482,0 days 12:00:00
NISSAN MOTOR MANUFACTURING UK,MSKU0085960,0 days 12:00:00
OCEAN NETWORK EXPRESS PTE LTD,TCNU5604360,0 days 12:00:00
KOMATSU UK LTD (CON),MRKU2617530,0 days 12:00:00
MAERSK A/S,MRKU3575091,0 days 12:00:00
UNIEXPRESS LIMITED,FCIU8744061,0 days 12:00:00
KOMATSU UK LTD (CON),MRKU3809482,0 days 12:00:00
NISSAN MOTOR MANUFACTURING UK,MSKU8346762,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MSKU7625090,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MRKU4277954,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,SKYU2617550,1 days 00:00:00
KOMATSU UK LTD (CON),TRLU7557870,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,SJUU3361294,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,TCLU5363481,1 days 00:00:00
J BARBOUR AND SONS LTD,TCLU3923885,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MRKU4061029,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,TCLU5442560,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,SEKU9146047,1 days 00:00:00
J BARBOUR AND SONS LTD,TCLU3946047,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,SJUU3361268,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,CLVU2403221,1 days 00:00:00
KOMATSU UK LTD (CON),UXXU4313526,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,SJUU3361170,1 days 00:00:00
J BARBOUR AND SONS LTD,FSCU4765105,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,SJUU3340199,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,SKYU8084823,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,CLVU2402800,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MRKU3842752,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,TCIU4258044,1 days 00:00:00
HINE FREIGHT SERVICES LIMITED,TLLU4027388,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,NYKU9706830,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,TCIU4258194,1 days 00:00:00
HINE FREIGHT SERVICES LIMITED,DFSU6778317,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,TCIU4258321,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MSKU9836189,1 days 00:00:00
HINE FREIGHT SERVICES LIMITED,BMOU5959495,1 days 00:00:00
HINE FREIGHT SERVICES LIMITED,BMOU5589873,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,NYKU0755639,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,ONEU0069282,1 days 00:00:00
KUEHNE + NAGEL LTD,TRHU2442973,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,TCIU4258358,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,TCIU4258379,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,TCIU4258390,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,TCIU4258492,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,TCIU4258511,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MRKU3128961,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,NYKU0799128,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,TDTU1326639,1 days 00:00:00
HINE FREIGHT SERVICES LIMITED,BMOU4897911,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MSKU8874380,1 days 00:00:00
HINE FREIGHT SERVICES LIMITED,EGSU9042636,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,TCIU4258065,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,CLVU2402272,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MRKU3552732,1 days 00:00:00
HINE FREIGHT SERVICES LIMITED,TEMU8914585,1 days 00:00:00
HINE FREIGHT SERVICES LIMITED,TCLU4908442,1 days 00:00:00
HINE FREIGHT SERVICES LIMITED,TCLU1825088,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,CLVU2402251,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MRKU3326674,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,TCIU4257958,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,TCLU6092506,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,TCLU5638450,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,TCIU4257984,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,TCIU4257990,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,TCIU4258002,1 days 00:00:00
HINE FREIGHT SERVICES LIMITED,FCIU8549430,1 days 00:00:00
HINE FREIGHT SERVICES LIMITED,FCIU7532690,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,CLVU2402246,1 days 00:00:00
HINE FREIGHT SERVICES LIMITED,EITU9227365,1 days 00:00:00
HINE FREIGHT SERVICES LIMITED,EITU1809014,1 days 00:00:00
HINE FREIGHT SERVICES LIMITED,GAOU6401911,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,SAZU4009229,1 days 00:00:00
KOMATSU UK LTD (CON),MSKU6764871,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,SAZU4009044,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MRKU8952388,1 days 00:00:00
KOMATSU UK LTD (CON),MRKU0713690,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,NEWU2144049,1 days 00:00:00
KOMATSU UK LTD (CON),MRKU0635258,1 days 00:00:00
KOMATSU UK LTD (CON),MRKU0597625,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MSKU0566040,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MRKU5990656,1 days 00:00:00
KOMATSU UK LTD (CON),MRKU0499871,1 days 00:00:00
KOMATSU UK LTD (CON),PONU1831236,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MRKU5839547,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,TEMU2485014,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MRKU5811180,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MSKU0890363,1 days 00:00:00
KOMATSU UK LTD (CON),MRKU0254478,1 days 00:00:00
KOMATSU UK LTD (CON),MRKU0225588,1 days 00:00:00
KOMATSU UK LTD (CON),MRKU0180776,1 days 00:00:00
KOMATSU UK LTD (CON),SUDU5455260,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MRKU9065114,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MSKU1060843,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MRSU3104685,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MSKU0172052,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MRSU4560165,1 days 00:00:00
KOMATSU UK LTD (CON),MSKU6502948,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,COYU4150129,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,COYU4150113,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,TCKU6174696,1 days 00:00:00
KOMATSU UK LTD (CON),MSKU6295162,1 days 00:00:00
KOMATSU UK LTD (CON),MSKU2757513,1 days 00:00:00
KOMATSU UK LTD (CON),MSKU1081044,1 days 00:00:00
KOMATSU UK LTD (CON),NYKU9706830,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,GESU3141877,1 days 00:00:00
KOMATSU UK LTD (CON),MRSU5036450,1 days 00:00:00
KOMATSU UK LTD (CON),MRKU9924190,1 days 00:00:00
KOMATSU UK LTD (CON),MRKU5468997,1 days 00:00:00
KOMATSU UK LTD (CON),MRKU5447818,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,HJMU2135097,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MSKU0067186,1 days 00:00:00
KOMATSU UK LTD (CON),MRKU3431345,1 days 00:00:00
KOMATSU UK LTD (CON),MRKU3329056,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,SAZU4009173,1 days 00:00:00
KOMATSU UK LTD (CON),TCKU6031397,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MRKU5400852,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,CPWU2344048,1 days 00:00:00
KOMATSU UK LTD (CON),BEAU5294796,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,TCKU7795677,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MSKU1478746,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,PSSU3947853,1 days 00:00:00
KOMATSU UK LTD (C/S),SUDU7988930,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MSKU1500048,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,TCLU1575902,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,PSSU3948464,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MRKU4603074,1 days 00:00:00
KOMATSU UK LTD (C/S),MRKU7382300,1 days 00:00:00
KOMATSU UK LTD (CON),TGHU1703854,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,BEAU5493709,1 days 00:00:00
KOMATSU UK LTD (CON),TLLU5707902,1 days 00:00:00
KERRY LOGISTICS (UK) LTD,MSDU1535250,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,PSSU3952314,1 days 00:00:00
KOMATSU UK LTD (CON),TLLU6141785,1 days 00:00:00
KOMATSU UK LTD (CON),BMOU5384847,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MSKU1136419,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MSKU1402020,1 days 00:00:00
KOMATSU UK LTD (CON),CSNU8497660,1 days 00:00:00
KOMATSU UK LTD (CON),MRKU0077259,1 days 00:00:00
KOMATSU UK LTD (CON),MRKU0051188,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MSKU1203712,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MRKU5316567,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,CLVU6024078,1 days 00:00:00
KOMATSU UK LTD (CON),MOTU1412049,1 days 00:00:00
KOMATSU UK LTD (CON),TCLU9309323,1 days 00:00:00
KOMATSU UK LTD (CON),TCLU9719842,1 days 00:00:00
KOMATSU UK LTD (CON),TCNU4272738,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,PSSU3933124,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,TCKU7618199,1 days 00:00:00
KOMATSU UK LTD (CON),TCNU4277283,1 days 00:00:00
KOMATSU UK LTD (CON),HASU1394775,1 days 00:00:00
KOMATSU UK LTD (CON),GESU6733210,1 days 00:00:00
KOMATSU UK LTD (CON),TCNU6854430,1 days 00:00:00
KOMATSU UK LTD (CON),FDCU0356590,1 days 00:00:00
KOMATSU UK LTD (CON),FCIU9988231,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MSKU1385514,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,TCIU4258050,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,NYKU4701585,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,FDCU0582508,1 days 00:00:00
HILLEBRAND BULK LOGISTICS,HLBU1346939,1 days 00:00:00
OCEAN NETWORK EXPRESS PTE LTD,KKFU7472199,1 days 00:00:00
DHL GLOBAL FORWARDING UK LTD,CAIU7315465,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,CAIU7315465,1 days 00:00:00
MAERSK A/S,TCLU3789734,1 days 00:00:00
MAERSK A/S,SUDU7572692,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,UETU5238816,1 days 00:00:00
MAERSK A/S,SUDU5963358,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,UACU6034638,1 days 00:00:00
MAERSK A/S,MSKU7927994,1 days 00:00:00
VIPA LAUSANNE SA,TCLU8179924,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,TRHU7663637,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,TRHU5947634,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,TRHU4841057,1 days 00:00:00
MAERSK A/S,MSKU4038186,1 days 00:00:00
MAERSK A/S,MSKU2943020,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,TRHU4257486,1 days 00:00:00
MAERSK A/S,MSKU0019423,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,TRHU2440477,1 days 00:00:00
MAERSK A/S,MRKU9836090,1 days 00:00:00
MAERSK A/S,MRKU9657915,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,TLLU5852372,1 days 00:00:00
MAERSK A/S,MRKU8843242,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,HLXU8066639,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,TLLU4556566,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,TGBU9887150,1 days 00:00:00
MAERSK A/S,MCRU2065935,1 days 00:00:00
OCEAN NETWORK EXPRESS PTE LTD,NYKU5868197,1 days 00:00:00
MAERSK A/S,MAEU4658430,1 days 00:00:00
MAERSK BATTERY PLANT,MNBU4091867,1 days 00:00:00
MAERSK BATTERY PLANT,MRKU2031508,1 days 00:00:00
VIPA LAUSANNE SA,MSKU9776618,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,CAIU9507786,1 days 00:00:00
VIPA LAUSANNE SA,MSKU1271065,1 days 00:00:00
NIPPON EXPRESS (UK) LIMITED,TRLU4884313,1 days 00:00:00
FITFLOP LTD,FFAU2081581,1 days 00:00:00
VIPA LAUSANNE SA,MRSU4656293,1 days 00:00:00
NISSAN MOTOR MANUFACTURING,MRSU3939792,1 days 00:00:00
HAPAG LLOYD AG,BEAU4191330,1 days 00:00:00
NIPPON EXPRESS (UK) LIMITED,TCLU3390554,1 days 00:00:00
HAPAG LLOYD AG,HLBU2116416,1 days 00:00:00
VIPA LAUSANNE SA,FFAU2293127,1 days 00:00:00
DHL GLOBAL FORWARDING UK LTD,MEDU7592270,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,DRYU6076433,1 days 00:00:00
VIPA LAUSANNE SA,TCKU7916974,1 days 00:00:00
NIPPON EXPRESS (UK) LIMITED,ECMU4364327,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,DRYU9483793,1 days 00:00:00
NIPPON EXPRESS (UK) LIMITED,CSNU6066767,1 days 00:00:00
MEWS LTD,TCNU9367306,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,BEAU4415851,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,DRYU9609768,1 days 00:00:00
MAERSK BATTERY PLANT,TRHU5660602,1 days 00:00:00
MAERSK BATTERY PLANT,TCKU7497522,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,FCIU8775036,1 days 00:00:00
MAERSK BATTERY PLANT,MRKU5219870,1 days 00:00:00
MAERSK BATTERY PLANT,MRKU4626784,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,FFAU1424768,1 days 00:00:00
OCEAN NETWORK EXPRESS PTE LTD,TCLU1968622,1 days 00:00:00
MAERSK BATTERY PLANT,MNBU9128850,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,KKFU8160446,1 days 00:00:00
MAERSK A/S,TCLU5757715,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,TEMU7304778,1 days 00:00:00
HILLEBRAND BULK LOGISTICS,MRKU7393500,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MNBU0483469,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,TITU8950585,1 days 00:00:00
HILLEBRAND BULK LOGISTICS,MRKU8332725,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MNBU3167680,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,TITU8950590,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MRKU2187620,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,TITU8950630,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,TCLU9621223,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MNBU3458109,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,TITU8950646,1 days 00:00:00
LIGENTIA INTERNATIONAL LTD,TITU8950651,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,TCNU8034316,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MRKU2674166,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,MRKU2031508,1 days 00:00:00
NISSAN MOTOR MANUFACTURING UK,TCNU5073200,1 days 00:00:00
