,CUSTOMER,container_id,d
91,OCEAN NETWORK EXPRESS PTE LTD,TCLU8040245,1
92,NISSAN MOTOR MANUFACTURING UK,SEGU9353374,25
93,NISSAN MOTOR MANUFACTURING UK,SEGU9353374,26
94,NISSAN MOTOR MANUFACTURING UK,HLBU2467236,18
95,NISSAN MOTOR MANUFACTURING UK,HLBU2467236,9
96,NISSAN MOTOR MANUFACTURING UK,HLBU2467236,14
97,HAPAG LLOYD AG,HLBU2467236,18
98,HAPAG LLOYD AG,HLBU2467236,9
99,HAPAG LLOYD AG,HLBU2467236,14
100,NISSAN MOTOR MANUFACTURING UK,HASU4329222,20
101,NISSAN MOTOR MANUFACTURING UK,HASU4329222,62
102,NISSAN MOTOR MANUFACTURING UK,MRKU6632929,26
103,NISSAN MOTOR MANUFACTURING UK,MRKU6632929,8
104,NISSAN MOTOR MANUFACTURING UK,MRKU6632929,0
105,MAERSK A/S,MRKU6632929,26
106,MAERSK A/S,MRKU6632929,8
107,MAERSK A/S,MRKU6632929,0
108,NISSAN MOTOR MANUFACTURING UK,TCNU4473286,10
109,NISSAN MOTOR MANUFACTURING UK,TCNU4473286,35
110,NISSAN MOTOR MANUFACTURING UK,MRKU2337910,10
111,NISSAN MOTOR MANUFACTURING UK,MRKU2337910,8
112,MAERSK A/S,MRKU7070209,2
113,MAERSK A/S,MRKU7070209,8
114,MAERSK A/S,MRKU7070209,23
115,MAERSK A/S,MRKU7070209,2
116,MAERSK A/S,MRKU7070209,8
117,MAERSK A/S,MRKU7070209,23
118,NISSAN MOTOR MANUFACTURING UK,MRKU2011820,14
119,NISSAN MOTOR MANUFACTURING UK,MRKU2011820,6
120,NISSAN MOTOR MANUFACTURING UK,TCNU5072354,19
121,NISSAN MOTOR MANUFACTURING UK,TCNU5072354,128
122,MAERSK A/S,MRKU7633534,3
123,MAERSK A/S,MRKU7633534,23
124,MAERSK A/S,MRKU7633534,8
125,MAERSK A/S,MRKU7633534,3
126,MAERSK A/S,MRKU7633534,23
127,MAERSK A/S,MRKU7633534,8
128,NISSAN MOTOR MANUFACTURING UK,SUDU8149854,21
129,NISSAN MOTOR MANUFACTURING UK,SUDU8149854,41
130,OCEAN NETWORK EXPRESS PTE LTD,TLLU5649956,31
131,OCEAN NETWORK EXPRESS PTE LTD,TLLU5649956,9
132,OCEAN NETWORK EXPRESS PTE LTD,TLLU5649956,0
133,NIPPON EXPRESS (UK) LIMITED,TCLU3036319,7
134,NIPPON EXPRESS (UK) LIMITED,TCLU3036319,26
135,NISSAN TRADING EUROPE LTD,TCLU3036319,7
136,NISSAN TRADING EUROPE LTD,TCLU3036319,26
137,MAERSK A/S,MSKU2632352,26
138,MAERSK A/S,MSKU2632352,2
139,MAERSK A/S,MSKU2632352,5
140,MAERSK A/S,MSKU2632352,12
141,JAS FORWARDING (UK)LTD,FSCU6573966,10
142,JAS FORWARDING (UK)LTD,FSCU6573966,7
143,MAERSK A/S,TCLU2886128,26
144,MAERSK A/S,TCLU2886128,3
145,MAERSK A/S,TCLU2886128,17
146,OCEAN NETWORK EXPRESS PTE LTD,NYKU4360236,0
147,OCEAN NETWORK EXPRESS PTE LTD,NYKU4360236,10
148,OCEAN NETWORK EXPRESS PTE LTD,NYKU4360236,32
149,MAERSK BATTERY PLANT,MSKU1924088,28
150,MAERSK BATTERY PLANT,MSKU1924088,24
151,MAERSK BATTERY PLANT,MSKU1924088,10
152,HINE FREIGHT SERVICES LIMITED,EGHU9166886,10
153,HINE FREIGHT SERVICES LIMITED,EGHU9166886,9
154,NIPPON EXPRESS (UK) LIMITED,UETU5834409,7
155,NIPPON EXPRESS (UK) LIMITED,UETU5834409,0
156,NIPPON EXPRESS (UK) LIMITED,UETU5834409,14
157,OCEAN NETWORK EXPRESS PTE LTD,UETU5834409,7
158,OCEAN NETWORK EXPRESS PTE LTD,UETU5834409,0
159,OCEAN NETWORK EXPRESS PTE LTD,UETU5834409,14
160,MAERSK A/S,MRKU9006467,26
161,MAERSK A/S,MRKU9006467,39
162,MAERSK A/S,MSKU2902231,0
163,MAERSK A/S,MSKU2902231,26
164,MAERSK A/S,MSKU2902231,8
165,HINE FREIGHT SERVICES LIMITED,EGHU9559116,10
166,HINE FREIGHT SERVICES LIMITED,EGHU9559116,9
167,MAERSK A/S,MSKU3500854,26
168,MAERSK A/S,MSKU3500854,18
169,MAERSK A/S,MSKU3500854,2
170,MAERSK A/S,MSKU5071954,2
171,MAERSK A/S,MSKU5071954,26
172,MAERSK A/S,MSKU5071954,18
173,MAERSK A/S,MRKU4757188,8
174,MAERSK A/S,MRKU4757188,0
175,MAERSK A/S,MRKU4757188,14
176,NISSAN MOTOR MANUFACTURING UK,MRKU4757188,8
177,NISSAN MOTOR MANUFACTURING UK,MRKU4757188,0
178,NISSAN MOTOR MANUFACTURING UK,MRKU4757188,14
179,MAERSK A/S,MSKU2498773,9
180,MAERSK A/S,MSKU2498773,1
181,MAERSK A/S,MSKU2498773,9
182,MAERSK A/S,MSKU2498773,1
183,HINE FREIGHT SERVICES LIMITED,EGHU9589229,10
184,HINE FREIGHT SERVICES LIMITED,EGHU9589229,9
185,MAERSK A/S,UETU5038166,9
186,MAERSK A/S,UETU5038166,10
187,MAERSK BATTERY PLANT,SUDU5885419,10
188,MAERSK BATTERY PLANT,SUDU5885419,24
189,NISSAN MOTOR MANUFACTURING UK,MNBU4174030,9
190,NISSAN MOTOR MANUFACTURING UK,MNBU4174030,41
191,OCEAN NETWORK EXPRESS PTE LTD,TCLU9728356,32
192,OCEAN NETWORK EXPRESS PTE LTD,TCLU9728356,0
193,OCEAN NETWORK EXPRESS PTE LTD,TCLU9728356,10
194,NISSAN MOTOR MANUFACTURING UK,MRKU4696610,9
195,NISSAN MOTOR MANUFACTURING UK,MRKU4696610,13
196,OCEAN NETWORK EXPRESS PTE LTD,NYKU5161455,10
197,OCEAN NETWORK EXPRESS PTE LTD,NYKU5161455,0
198,OCEAN NETWORK EXPRESS PTE LTD,NYKU5161455,32
199,MAERSK A/S,MSKU3857100,12
200,MAERSK A/S,MSKU3857100,1
201,MAERSK A/S,MSKU3857100,9
202,MAERSK A/S,MSKU3857100,12
203,MAERSK A/S,MSKU3857100,1
204,MAERSK A/S,MSKU3857100,9
205,NISSAN MOTOR MANUFACTURING UK,MRKU2737388,9
206,NISSAN MOTOR MANUFACTURING UK,MRKU2737388,24
207,NISSAN MOTOR MANUFACTURING UK,MRKU4232836,14
208,NISSAN MOTOR MANUFACTURING UK,MRKU4232836,9
209,OCEAN NETWORK EXPRESS PTE LTD,BEAU5309807,10
210,OCEAN NETWORK EXPRESS PTE LTD,BEAU5309807,0
211,OCEAN NETWORK EXPRESS PTE LTD,BEAU5309807,31
212,MAERSK A/S,MSKU5708580,9
213,MAERSK A/S,MSKU5708580,1
214,MAERSK A/S,MSKU5708580,9
215,MAERSK A/S,MSKU5708580,1
216,NISSAN MOTOR MANUFACTURING UK,TCKU6858831,10
217,NISSAN MOTOR MANUFACTURING UK,TCKU6858831,7
218,NISSAN MOTOR MANUFACTURING UK,MRKU3123717,10
219,NISSAN MOTOR MANUFACTURING UK,MRKU3123717,7
220,NISSAN MOTOR MANUFACTURING UK,TGHU9709709,24
221,NISSAN MOTOR MANUFACTURING UK,TGHU9709709,21
222,OCEAN NETWORK EXPRESS PTE LTD,GCXU5198289,1
223,OCEAN NETWORK EXPRESS PTE LTD,GCXU5198289,31
224,OCEAN NETWORK EXPRESS PTE LTD,GCXU5198289,10
225,MAERSK A/S,MSKU4469732,23
226,MAERSK A/S,MSKU4469732,2
227,MAERSK A/S,MSKU4469732,9
228,MAERSK A/S,MSKU4469732,23
229,MAERSK A/S,MSKU4469732,2
230,MAERSK A/S,MSKU4469732,9
231,MAERSK A/S,MSKU7898113,9
232,MAERSK A/S,MSKU7898113,12
233,MAERSK A/S,MSKU7898113,1
234,MAERSK A/S,MSKU7898113,0
235,MAERSK A/S,MSKU7898113,9
236,MAERSK A/S,MSKU7898113,12
237,MAERSK A/S,MSKU7898113,1
238,MAERSK A/S,MSKU7898113,0
239,MAERSK A/S,MSKU7898113,9
240,MAERSK A/S,MSKU7898113,12
241,MAERSK A/S,MSKU7898113,1
242,MAERSK A/S,MSKU7898113,0
243,NISSAN MOTOR MANUFACTURING UK,BSIU9026929,10
244,NISSAN MOTOR MANUFACTURING UK,BSIU9026929,7
245,NISSAN MOTOR MANUFACTURING UK,MSKU5456386,1
246,NISSAN MOTOR MANUFACTURING UK,MSKU5456386,24
247,MAERSK A/S,MSKU5456386,1
248,MAERSK A/S,MSKU5456386,24
249,NISSAN MOTOR MANUFACTURING UK,HASU4713074,24
250,NISSAN MOTOR MANUFACTURING UK,HASU4713074,0
251,NISSAN MOTOR MANUFACTURING UK,HASU4713074,24
252,MAERSK A/S,HASU4713074,24
253,MAERSK A/S,HASU4713074,0
254,MAERSK A/S,HASU4713074,24
255,MAERSK A/S,MRKU8548740,12
256,MAERSK A/S,MRKU8548740,9
257,MAERSK A/S,MRKU8548740,1
258,MAERSK A/S,MRKU8548740,12
259,MAERSK A/S,MRKU8548740,9
260,MAERSK A/S,MRKU8548740,1
261,NISSAN MOTOR MANUFACTURING UK,MNBU9149072,9
262,NISSAN MOTOR MANUFACTURING UK,MNBU9149072,40
263,MAERSK A/S,SUDU1430108,0
264,MAERSK A/S,SUDU1430108,9
265,MAERSK A/S,SUDU1430108,12
266,MAERSK A/S,SUDU1430108,0
267,MAERSK A/S,SUDU1430108,9
268,MAERSK A/S,SUDU1430108,12
269,NISSAN MOTOR MANUFACTURING UK,MRKU3161506,13
270,NISSAN MOTOR MANUFACTURING UK,MRKU3161506,9
271,NISSAN MOTOR MANUFACTURING UK,MRKU3161506,0
272,NISSAN MOTOR MANUFACTURING UK,MRKU3161506,13
273,NISSAN MOTOR MANUFACTURING UK,MRKU3161506,9
274,NISSAN MOTOR MANUFACTURING UK,MRKU3161506,0
275,MAERSK A/S,MSKU7552497,59
276,MAERSK A/S,MSKU7552497,10
277,MAERSK A/S,MSKU7552497,59
278,MAERSK A/S,MSKU7552497,10
279,MAERSK A/S,MRKU9359886,0
280,MAERSK A/S,MRKU9359886,10
281,MAERSK A/S,MRKU9359886,12
282,MAERSK A/S,MRKU9359886,0
283,MAERSK A/S,MRKU9359886,10
284,MAERSK A/S,MRKU9359886,12
285,MAERSK A/S,SUDU1770279,1
286,MAERSK A/S,SUDU1770279,9
287,MAERSK A/S,SUDU1770279,23
288,OCEAN NETWORK EXPRESS PTE LTD,FDCU0644976,6
289,OCEAN NETWORK EXPRESS PTE LTD,FDCU0644976,1
290,OCEAN NETWORK EXPRESS PTE LTD,FDCU0644976,9
291,MAERSK A/S,PONU0217455,4
292,MAERSK A/S,PONU0217455,1
293,MAERSK A/S,HASU1203014,13
294,MAERSK A/S,HASU1203014,0
295,MAERSK A/S,HASU1203014,8
296,MAERSK A/S,TCKU3324494,2
297,MAERSK A/S,TCKU3324494,3
298,MAERSK A/S,SUDU7313161,13
299,MAERSK A/S,SUDU7313161,9
300,MAERSK A/S,SUDU7313161,0
301,OCEAN NETWORK EXPRESS PTE LTD,MOTU0790300,0
302,OCEAN NETWORK EXPRESS PTE LTD,MOTU0790300,9
303,MAERSK BATTERY PLANT,MRKU4234525,24
304,MAERSK BATTERY PLANT,MRKU4234525,1
305,MAERSK BATTERY PLANT,MRKU4234525,21
306,MAERSK A/S,MRKU4234525,24
307,MAERSK A/S,MRKU4234525,1
308,MAERSK A/S,MRKU4234525,21
309,NISSAN MOTOR MANUFACTURING UK,MRKU3417727,25
310,NISSAN MOTOR MANUFACTURING UK,MRKU3417727,0
311,MAERSK A/S,MSKU7724132,13
312,OCEAN NETWORK EXPRESS PTE LTD,TEMU8908999,6
313,OCEAN NETWORK EXPRESS PTE LTD,TEMU8908999,9
314,OCEAN NETWORK EXPRESS PTE LTD,TEMU8908999,1
315,MAERSK A/S,MSKU2484717,13
316,OCEAN NETWORK EXPRESS PTE LTD,TCLU1685068,33
317,OCEAN NETWORK EXPRESS PTE LTD,TCLU1685068,1
318,OCEAN NETWORK EXPRESS PTE LTD,TCLU1685068,1
319,OCEAN NETWORK EXPRESS PTE LTD,ONEU0072542,33
320,OCEAN NETWORK EXPRESS PTE LTD,ONEU0072542,9
321,OCEAN NETWORK EXPRESS PTE LTD,ONEU0072542,1
322,OCEAN NETWORK EXPRESS PTE LTD,TLLU4064524,3
323,OCEAN NETWORK EXPRESS PTE LTD,TLLU4064524,9
324,OCEAN NETWORK EXPRESS PTE LTD,TLLU4064524,42
325,HINE FREIGHT SERVICES LIMITED,GAOU6411083,10
326,HINE FREIGHT SERVICES LIMITED,GAOU6411083,9
327,NISSAN MOTOR MANUFACTURING UK,MSKU0012500,25
328,NISSAN MOTOR MANUFACTURING UK,MSKU0012500,8
329,OCEAN NETWORK EXPRESS PTE LTD,TCLU9532091,42
330,OCEAN NETWORK EXPRESS PTE LTD,TCLU9532091,3
331,OCEAN NETWORK EXPRESS PTE LTD,TCLU9532091,7
332,OCEAN NETWORK EXPRESS PTE LTD,TEMU7493516,9
333,OCEAN NETWORK EXPRESS PTE LTD,TEMU7493516,2
334,OCEAN NETWORK EXPRESS PTE LTD,TEMU7493516,42
335,HINE FREIGHT SERVICES LIMITED,TLLU4040728,25
336,HINE FREIGHT SERVICES LIMITED,TLLU4040728,10
337,OCEAN NETWORK EXPRESS PTE LTD,KKFU7709700,43
338,OCEAN NETWORK EXPRESS PTE LTD,KKFU7709700,8
339,OCEAN NETWORK EXPRESS PTE LTD,KKFU7709700,9
340,NISSAN MOTOR MANUFACTURING UK,NYKU4334134,0
341,NISSAN MOTOR MANUFACTURING UK,NYKU4334134,24
342,NISSAN MOTOR MANUFACTURING UK,NYKU4334134,0
343,OCEAN NETWORK EXPRESS PTE LTD,NYKU4334134,0
344,OCEAN NETWORK EXPRESS PTE LTD,NYKU4334134,24
345,OCEAN NETWORK EXPRESS PTE LTD,NYKU4334134,0
346,RAW MINERALS B.V.,MOAU6795221,25
347,RAW MINERALS B.V.,MOAU6795221,8
348,NISSAN MOTOR MANUFACTURING,MSKU1458230,25
349,NISSAN MOTOR MANUFACTURING UK,MSKU1458230,25
350,OCEAN NETWORK EXPRESS PTE LTD,FDCU0457620,43
351,OCEAN NETWORK EXPRESS PTE LTD,FDCU0457620,2
352,OCEAN NETWORK EXPRESS PTE LTD,FDCU0457620,9
353,NISSAN MOTOR MANUFACTURING UK,FCIU9742171,0
354,NISSAN MOTOR MANUFACTURING UK,FCIU9742171,1
355,NISSAN MOTOR MANUFACTURING UK,FCIU9742171,8
356,OCEAN NETWORK EXPRESS PTE LTD,FCIU9742171,0
357,OCEAN NETWORK EXPRESS PTE LTD,FCIU9742171,1
358,OCEAN NETWORK EXPRESS PTE LTD,FCIU9742171,8
359,NISSAN MOTOR MANUFACTURING UK,CAAU5470032,8
360,NISSAN MOTOR MANUFACTURING UK,CAAU5470032,40
361,HILLEBRAND BULK LOGISTICS,MEDU5516369,117
362,HILLEBRAND BULK LOGISTICS,MEDU5516369,20
363,NISSAN MOTOR MANUFACTURING UK,FDCU0345255,0
364,NISSAN MOTOR MANUFACTURING UK,FDCU0345255,8
365,NISSAN MOTOR MANUFACTURING UK,FDCU0345255,0
366,OCEAN NETWORK EXPRESS PTE LTD,FDCU0345255,0
367,OCEAN NETWORK EXPRESS PTE LTD,FDCU0345255,8
368,OCEAN NETWORK EXPRESS PTE LTD,FDCU0345255,0
369,NISSAN MOTOR MANUFACTURING UK,HLXU8209935,47
370,NISSAN MOTOR MANUFACTURING UK,HLXU8209935,14
371,NISSAN MOTOR MANUFACTURING UK,BMOU4917010,0
372,NISSAN MOTOR MANUFACTURING UK,BMOU4917010,8
373,NISSAN MOTOR MANUFACTURING UK,BMOU4917010,0
374,OCEAN NETWORK EXPRESS PTE LTD,BMOU4917010,0
375,OCEAN NETWORK EXPRESS PTE LTD,BMOU4917010,8
376,OCEAN NETWORK EXPRESS PTE LTD,BMOU4917010,0
377,NISSAN MOTOR MANUFACTURING UK,MRKU4391057,0
378,NISSAN MOTOR MANUFACTURING UK,MRKU4391057,35
379,NISSAN MOTOR MANUFACTURING UK,MRKU4391057,0
380,NISSAN MOTOR MANUFACTURING UK,FFAU1416130,0
381,NISSAN MOTOR MANUFACTURING UK,FFAU1416130,8
382,NISSAN MOTOR MANUFACTURING UK,FFAU1416130,0
383,OCEAN NETWORK EXPRESS PTE LTD,FFAU1416130,0
384,OCEAN NETWORK EXPRESS PTE LTD,FFAU1416130,8
385,OCEAN NETWORK EXPRESS PTE LTD,FFAU1416130,0
386,NISSAN MOTOR MANUFACTURING UK,CAAU5300550,8
387,NISSAN MOTOR MANUFACTURING UK,CAAU5300550,0
388,NISSAN TRADING EUROPE LTD,CSNU1679004,0
389,NISSAN TRADING EUROPE LTD,CSNU1679004,36
390,NISSAN MOTOR MANUFACTURING UK,BEAU5184401,8
391,NISSAN MOTOR MANUFACTURING UK,BEAU5184401,0
392,MAERSK BATTERY PLANT,MNBU3112625,39
393,MAERSK BATTERY PLANT,MNBU3112625,0
394,NISSAN MOTOR MANUFACTURING UK,HASU4029354,8
395,NISSAN MOTOR MANUFACTURING UK,HASU4029354,0
396,NISSAN MOTOR MANUFACTURING UK,HASU4871228,0
397,NISSAN MOTOR MANUFACTURING UK,HASU4871228,8
398,OCEAN NETWORK EXPRESS PTE LTD,FCIU4406739,24
399,OCEAN NETWORK EXPRESS PTE LTD,FCIU4406739,8
400,KOMATSU UK LTD (CON),FTAU1236480,8
401,KOMATSU UK LTD (CON),FTAU1236480,0
402,TATA OUTBOUND,FTAU1236480,8
403,TATA OUTBOUND,FTAU1236480,0
404,NISSAN MOTOR MANUFACTURING UK,MRKU5327073,9
405,NISSAN MOTOR MANUFACTURING UK,MRKU5327073,23
406,MAERSK BATTERY PLANT,TEMU3293994,0
407,MAERSK BATTERY PLANT,TEMU3293994,0
408,MAERSK BATTERY PLANT,TEMU3293994,24
409,MAERSK A/S,TEMU3293994,0
410,MAERSK A/S,TEMU3293994,0
411,MAERSK A/S,TEMU3293994,24
412,KOMATSU UK LTD (CON),MEDU7181752,17
413,KOMATSU UK LTD (CON),MEDU7181752,0
414,KOMATSU UK LTD (CON),MEDU7181752,0
415,KINTETSU WORLD EXPRESS UK LTD,EISU9327714,0
416,KINTETSU WORLD EXPRESS UK LTD,EISU9327714,24
417,NISSAN MOTOR MANUFACTURING UK,TCNU3881827,1
418,NISSAN MOTOR MANUFACTURING UK,TCNU3881827,4
419,NISSAN MOTOR MANUFACTURING UK,TCNU3881827,6
420,OCEAN NETWORK EXPRESS PTE LTD,TCNU3881827,1
421,OCEAN NETWORK EXPRESS PTE LTD,TCNU3881827,4
422,OCEAN NETWORK EXPRESS PTE LTD,TCNU3881827,6
423,NISSAN MOTOR MANUFACTURING UK,HASU4034330,24
424,NISSAN MOTOR MANUFACTURING UK,HASU4034330,0
425,NISSAN MOTOR MANUFACTURING UK,TCNU5927803,1
426,NISSAN MOTOR MANUFACTURING UK,TCNU5927803,8
427,NISSAN MOTOR MANUFACTURING UK,TCNU5927803,3
428,OCEAN NETWORK EXPRESS PTE LTD,TCNU5927803,1
429,OCEAN NETWORK EXPRESS PTE LTD,TCNU5927803,8
430,OCEAN NETWORK EXPRESS PTE LTD,TCNU5927803,3
431,OCEAN NETWORK EXPRESS PTE LTD,BEAU4594309,4
432,OCEAN NETWORK EXPRESS PTE LTD,BEAU4594309,43
433,OCEAN NETWORK EXPRESS PTE LTD,BEAU4594309,2
434,MAERSK BATTERY PLANT,MSKU9800397,23
435,MAERSK BATTERY PLANT,MSKU9800397,8
436,HAPAG LLOYD AG,TLLU4305200,1
437,HAPAG LLOYD AG,TLLU4305200,47
438,KINTETSU WORLD EXPRESS UK LTD,TGBU6514928,0
439,KINTETSU WORLD EXPRESS UK LTD,TGBU6514928,8
440,COSCON SHIPPING LINES LTD,CCLU7744937,36
441,COSCON SHIPPING LINES LTD,OOLU8852783,36
442,NISSAN MOTOR MANUFACTURING UK,NYKU4878098,0
443,NISSAN MOTOR MANUFACTURING UK,NYKU4878098,6
444,NISSAN MOTOR MANUFACTURING UK,NYKU4878098,0
445,OCEAN NETWORK EXPRESS PTE LTD,NYKU4878098,0
446,OCEAN NETWORK EXPRESS PTE LTD,NYKU4878098,6
447,OCEAN NETWORK EXPRESS PTE LTD,NYKU4878098,0
448,MAERSK BATTERY PLANT,MNBU3719239,0
449,MAERSK BATTERY PLANT,MNBU3719239,39
450,MAERSK A/S,MRKU3304696,8
451,MAERSK A/S,MRKU3304696,11
452,NISSAN MOTOR MANUFACTURING UK,CAIU8296570,46
453,NISSAN MOTOR MANUFACTURING UK,CAIU8296570,0
454,NISSAN MOTOR MANUFACTURING UK,NYKU0722759,0
455,NISSAN MOTOR MANUFACTURING UK,NYKU0722759,8
456,NISSAN MOTOR MANUFACTURING UK,NYKU0722759,0
457,OCEAN NETWORK EXPRESS PTE LTD,NYKU0722759,0
458,OCEAN NETWORK EXPRESS PTE LTD,NYKU0722759,8
459,OCEAN NETWORK EXPRESS PTE LTD,NYKU0722759,0
460,NISSAN MOTOR MANUFACTURING UK,NYKU5236528,0
461,NISSAN MOTOR MANUFACTURING UK,NYKU5236528,0
462,NISSAN MOTOR MANUFACTURING UK,NYKU5236528,5
463,OCEAN NETWORK EXPRESS PTE LTD,NYKU5236528,0
464,OCEAN NETWORK EXPRESS PTE LTD,NYKU5236528,0
465,OCEAN NETWORK EXPRESS PTE LTD,NYKU5236528,5
466,OCEAN NETWORK EXPRESS PTE LTD,NYKU5236528,0
467,OCEAN NETWORK EXPRESS PTE LTD,NYKU5236528,0
468,OCEAN NETWORK EXPRESS PTE LTD,NYKU5236528,5
469,NISSAN MOTOR MANUFACTURING UK,CAIU4802855,46
470,NISSAN MOTOR MANUFACTURING UK,CAIU4802855,1
471,NISSAN MOTOR MANUFACTURING UK,MRKU3348436,7
472,NISSAN MOTOR MANUFACTURING UK,MRKU3348436,1
473,NISSAN MOTOR MANUFACTURING UK,MRKU3955424,35
474,NISSAN MOTOR MANUFACTURING UK,MRKU3955424,0
